id,symbol,status,date,period,price_at_analysis,position_bias,directional_bias,entry_range,target_range,re_evaluation_level,briefing_notes,result_text,outcome,inactive_datetime
1080,EWZ,Inactive,2026-08-03T14:53:41.951Z,Short-Term (1-3 weeks),36.34,Long,None,36.65 - 36.65,37.91 - 38.58,< 35.46,Weekly low is likely forming late. RS trying to turn up. Daily low due to form around end of July/early August. Close over breakout level will turn this green on site. Targeting 78.6 - 100% extension zone.,EWZ did not establish over the pivot - removing the setup,Pending / Inactive,2026-08-06T14:12:34Z
1077,DDOG,Inactive,2026-07-14T17:58:13.908Z,Short-Term (1-3 weeks),268.4,Long,None,271.5 - 271.5,284.0 - 294.0,< 252.0,Weekly rising phase. Daily higher low shelf forming and setting up for a breakout play. See video.. Note it will only be activated if it closes over favorable level on daily bar.,While this closed through favorable on Friday it is just too close to the earnings now. Great looking stock overall.,Pending / Inactive,2026-08-03T14:54:58Z
1076,AMZN,Inactive,2026-07-13T15:14:20.593Z,Short-Term (1-3 weeks),248.34,Long,None,249.25 - 249.25,258.17 - 267.14,< 244.18,Weekly corrective phase - mid-cycle low timeframe so reasonable spot for a multi-week bounce. Momentum down. Daily rising phase - base forming in terms of price - needs close > breakout level to set up green. See video. Update 7/15: turned green today given the move through pivot,Tapped the 61.8 to the tick (base of target zone). Not an easy sequence given the early gap and go from 7/15. The holding of the daily EMAs was key observation.,Target Zone Reached,2026-07-16T14:05:17Z
1075,NTAP,Inactive,2026-07-09T20:13:49.212Z,Short-Term (1-3 weeks),171.73,Long,None,168.25 - 164.25,183.4 - 193.0,< 159.4,Weekly rising phase in a strong group.. Daily new rising phase - post earnings flag base and now resumption.. Looking for mini dips into favorable and higher towards 78.6 and swing highs. Closed over favorable today 7/14 - activated it at the close.,Removing the setup here as it is retracing yesterday's bar,Pending / Inactive,2026-07-15T14:27:00Z
1074,SNOW,Inactive,2026-06-30T13:37:58.277Z,Short-Term (1-3 weeks),249.0,Long,None,247.0 - 241.0,270.0 - 285.0,< 230.0,Weekly rising phase with positive RS. Daily just entering into rising phase - watching for continuation into the 78.6 as primary target followed by old swing high - see video.,Just missed target,Pending / Inactive,2026-07-02T16:00:02Z
1073,GOOGL,Inactive,2026-06-30T11:46:26.921Z,Short-Term (1-3 weeks),353.65,Long,None,351.0 - 345.0,369.0 - 380.0,< 339.5,"Weekly is correcting into the minor trough, reversal scout is negative. Daily low is due watching for a higher low setup and a turn higher. See video.",Just missed target on swing up.,Pending / Inactive,2026-07-02T16:00:27Z
1072,AMZN,Inactive,2026-06-29T15:12:50.890Z,Short-Term (1-3 weeks),244.8,Long,None,241.5 - 237.5,251.8 - 258.0,< 233.0,Weekly corrective phase - with RS pointed lower. Daily cycle reversal and getting into rising phase. Watching for MINOR dip into today's range tomorrow right off morning AM 30min session that gets bought and a quick move towards 50-61.8 retrace zone. See video.,will not setup as we had a weak close yesterday - removing it.,Pending / Inactive,2026-06-30T11:34:25Z
1071,TSLA,Inactive,2026-06-23T19:08:34.092Z,Short-Term (1-3 weeks),380.0,Short,None,384.0 - 391.0,365.0 - 350.0,> 398.0,Weekly corrective phase. Daily corrective phase and LHT. Expecting a swift test of the 78.6 at 363 in the coming 1-2 weeks. See video.,Just missed target by 3 pts. Overall worked well,Target Zone Reached,2026-06-26T16:32:16Z
1070,QCOM,Inactive,2026-06-23T18:48:20.892Z,Short-Term (1-3 weeks),203.36,Short,None,211.5 - 221.5,190.5 - 178.5,> 223.25,Weekly peaking phase with a negative weekly ReversalScout. Daily peaking phase. SlimRibbon is neutral and ReversalScout daily is red. Watching for a chop lower with a downward bias. See video.,Excellent move in QCOM as the 6/25 gap faded and has now flushed through the lows into the targets. Rallies will provide another opportunity here imo.,Target Zone Reached,2026-06-29T15:02:14Z
1069,AVGO,Inactive,2026-06-22T18:14:24.259Z,Short-Term (1-3 weeks),396.0,Short,None,400.0 - 406.0,379.5 - 370.0,> 415.0,Weekly corrective phase and clear laggard in group - weekly momentum remains down. Daily corrective phase - post earnings bear flag. Watching for failures around daily EMAs and lower into early - mid July. See Video.,Hit target,Target Zone Reached (Early / Missed Entry),2026-06-26T16:32:53Z
1068,GM,Inactive,2026-06-16T13:48:58.915Z,Intermediate-Term (3-8 weeks),84.68,Long,None,85.2 - 85.2,87.6 - 91.0,< 82.6,Weekly rising phase as it continues to test the 78.6 Daily shakeout and now back to highs - watching same pivot here at recent swing highs. Close over breakout level and will turn green- targeting swing highs first and then 61.8 extension,Never triggered,Pending / Inactive,
1067,MDT,Inactive,2026-06-09T14:42:37.612Z,Short-Term (1-3 weeks),82.18,Long,None,82.2 - 82.2,85.9 - 89.8,< 78.5,Weekly rising phase just getting underway with IHI. Daily earnings gap up and mini flag - decent RS name. See video.,back to back days of trying to do something (aka breakout) and squatting. removing it,Pending / Inactive,2026-06-25T18:50:04Z
1066,XLF,Inactive,2026-06-09T14:16:07.369Z,Short-Term (1-3 weeks),52.59,Long,None,52.6 - 52.6,53.92 - 54.62,< 51.7,Weekly rising phase. Daily rising phase and trying to clear 200 sma daily. Targeting a 61.8 fib extension on weekly and the weekly 78.6. Financials generally have been showing relative strength throughout this deleveraging event in high beta. Now they are all turning up. Look at KRE regionals as there are many great bull consolidations occurring there! Update: This hit T1 right off open on 6/15,"This hit T1 right off open on 6/15, Hit T2 + 4% 9:45 AM ET on 6/17! Look at the catch up play in JPM specifically - big driver for the XLF.",Target Zone Reached,2026-06-15T13:46:01Z
1065,GM,Inactive,2026-06-03T16:05:42.004Z,Short-Term (1-3 weeks),83.0,Long,None,84.2 - 84.2,87.6 - 91.0,< 80.3,Weekly rising phase in GM. Daily rising phase and trying to form a flag. Mini pivot developing vs 84.20. Needs close over that level to turn green for the site. Re-eval in that situation would be a new low vs today's low. See video.,Has not triggered - this is why closes help avoid chop. Changed state from yellow to red.,Pending / Inactive,2026-06-10T14:53:39Z
1064,CWEN,Inactive,2026-06-02T18:06:31.677Z,Intermediate-Term (3-8 weeks),41.42,Long,None,41.5 - 41.5,43.45 - 45.55,< 39.4,Weekly rising phase + daily rising phase. Rectangle breakout play with measured move towards 46.  Will turn green if it closes over breakout level.,never triggered - alert remains in place if it approaches the prior pivot,Pending / Inactive,2026-06-09T14:36:39Z
1063,NVDA,Inactive,2026-06-02T01:31:48.819Z,Short-Term (1-3 weeks),222.35,Long,None,221.5 - 218.0,230.0 - 236.0,< 215.0,Weekly test of breakout area and move higher post conference. We can disregard the late sell on the MSCI rebalance on Friday given today's action. Stock is trading 222.20 after hours @ 9:19 PM ET on 6/1. Expecting to see dip buyers tomorrow AM re-emerge if this stock has in fact made a S-T low. No video - see Office hours from 5/28 for a review of this name.,Now in target,Target Zone Reached (Early / Missed Entry),2026-06-02T13:56:09Z
1062,CVNA,Inactive,2026-06-01T15:27:22.739Z,Short-Term (1-3 weeks),69.8,Short,None,69.81 - 72.5,64.1 - 61.1,> 75.2,Weekly corrective period - low due 6/22 - 8/10. Daily peaking phase as it is stalling at the 61.8. Watching for a daily LHT to form vs the anchor high from 5/28. Clear relative weakness name... see video. Update - T1 hit +8% on 6/2,CVNA hit target 2 +12%. Will pull the active setup now from the site. Great move.,Target Zone Reached,2026-06-03T16:48:52Z
1061,AMZN,Inactive,2026-05-29T13:54:40.707Z,Short-Term (1-3 weeks),273.9,Long,None,273.56 - 273.56,285.0 - 294.0,< 264.0,Weekly rising phase bull flag retesting breakout. Daily rising phase. Watching for close over daily 78.6 to set this up for higher. Targeting 38.2 - 50 fib extensions. Re-eval is on close below daily 21 EMA. See video.,Never triggered and now testing lows.,Pending / Inactive,2026-06-02T13:57:35Z
1060,ABBV,Inactive,2026-05-28T15:01:32.352Z,Short-Term (1-3 weeks),218.5,Long,None,219.5 - 219.5,226.0 - 228.0,< 211.0,Weekly rising phase just getting underway as XLV sector also turns up. If it closes over the 200 sma daily that will set this as green vs the 21 daily EMA. Targeting 226-228 which is a high volume area for the stock .. often times as price starts to approach areas of heavy trade that zone acts like a magnet. See video.,Never triggered and failed now at the 200 SMA,Pending / Inactive,2026-06-02T13:58:04Z
1059,URI,Inactive,2026-05-28T01:47:09.277Z,Short-Term (1-3 weeks),978.0,Long,None,980.0 - 980.0,1020.0 - 1060.0,< 936.0,"Weekly rising phase. Daily rising phase. Transports coming to life - GM, F, Airlines (DAL, UAL) see video.",Tried to move up over 1k and sellers came in - removing it as it tests favorable again.,Pending / Inactive,2026-06-01T14:50:09Z
1058,HWM,Inactive,2026-05-20T14:40:11.308Z,Short-Term (1-3 weeks),260.0,Long,None,258.0 - 260.0,269.0 - 274.0,< 251.0,Weekly rising phase. Daily earnings gap up and flag retesting the breakout. Targeting move towards 61.8 - 78.6. Re-eval is new daily low. See video. If it closes over the favorable zone today will turn it green.,never triggered - waiting for daily closes help filter opportunities,Pending / Inactive,
1057,LLY,Inactive,2026-05-19T14:31:18.687Z,Short-Term (1-3 weeks),1012.0,Long,None,1012.0 - 1002.0,1050.0 - 1073.0,< 971.0,"weekly rising phase, xlv starting to get a bid and trying to move over 200d, lly is a leader in the group. Bull flag on daily - see video.",scratching LLY. Missed the target on this AM swing up.,Pending / Inactive,2026-05-20T16:45:27Z
1056,CSX,Inactive,2026-05-15T14:30:41.768Z,Short-Term (1-3 weeks),45.55,Long,None,45.55 - 45.0,47.57 - 48.59,< 44.24,Weekly rising phase. Daily bull flag post earnings. Nice reaction day yesterday to the upside and now testing the breakout line. See video.,Good initial lift +1.20 or so and then falling back to the EMAs - just no sponsorship here in spite of the strong weekly pattern and post earnings flag.,Pending / Inactive,2026-05-22T17:22:29Z
1055,FIGR,Inactive,2026-05-14T16:05:14.769Z,Short-Term (1-3 weeks),42.3,Long,None,42.43 - 42.43,47.0 - 51.7,< 39.0,Weekly - there is no enough data for cycle analysis. Daily - ascending triangle starting to build. Some volume starting to come into the name as well. Seeing if we can get an extension back higher.. highly volatile name so just an attempt for a squeeze play.,FIGR closed fine on Friday but then today bid came out of tech across the board and that has taken FIGR d own with it.,Re-evaluation Level Hit,2026-05-18T18:09:10Z
1054,BABA,Inactive,2026-05-14T14:40:46.076Z,Short-Term (1-3 weeks),142.0,Long,None,143.8 - 143.8,154.5 - 162.0,< 137.0,Weekly rising phase. Daily rising phase. Very high volume reversal yesterday and today is a test into range. Given choppy daily condition - need to see breakout vs prior swing high with confirmed close over that level (will turn green IF that happens). See video.,No trigger and kept it yellow for this reason.. Waiting till daily close can really help with getting caught in noise.,Pending / Inactive,2026-05-15T18:29:31Z
1053,APA,Inactive,2026-05-12T14:41:53.404Z,Short-Term (1-3 weeks),36.62,Short,None,36.45 - 37.8,33.64 - 30.81,> 38.63,Weekly corrective phase low due 6/1 - 7/13. Daily corrective phase.. bearish earnings gap and now potential flag. See video.,Moving through re-eval,Re-evaluation Level Hit,2026-05-15T18:29:06Z
1052,TSLA,Inactive,2026-05-11T15:01:53.138Z,Short-Term (1-3 weeks),429.0,Long,None,416.0 - 406.0,449.0 - 455.0,< 396.54,Weekly rising phase. Daily rising phase. Bull flag expected above the 200d. See video. Raised levels on 5/12,In target.,Target Zone Reached (Early / Missed Entry),2026-05-14T19:59:07Z
1051,MDY,Inactive,2026-05-05T16:18:38.963Z,Short-Term (1-3 weeks),668.0,Long,None,668.0 - 668.0,680.0 - 689.0,< 657.0,Weekly rising phase and flag. Daily rising phase and trying to move out of consolidation. See video.,Conditions for this idea satisfied. Hit the target in one day + 12.,Target Zone Reached,2026-05-06T14:23:09Z
1050,FDX,Inactive,2026-05-05T15:17:40.649Z,Short-Term (1-3 weeks),361.7,Short,None,364.0 - 370.0,344.0 - 342.0,> 380.0,"Weekly stalling after making a new high, daily corrective phase post AMZN news related to opening up supply chain. Expecting this reaction up to fail. See video.",I have kept this yellow purposely since it was not setting up properly. Removing it here..,Pending / Inactive,2026-05-07T13:47:14Z
1049,XBI,Inactive,2026-05-04T15:12:34.097Z,Short-Term (1-3 weeks),132.85,Long,None,132.25 - 131.25,136.74 - 139.0,< 129.0,"Weekly analysis suggests rising phase, daily analysis suggests S-T low due. See video.",XBI conditions for this idea have been satisfied. XBI has since rallied into the target +4% on an ETF.,Target Zone Reached,2026-05-07T13:46:29Z
1048,EEM,Inactive,2026-04-30T19:13:29.076Z,Short-Term (1-3 weeks),63.74,Long,None,63.75 - 63.75,65.4 - 66.6,< 61.76,Weekly rising phase. Daily rising phase and tight triangle forming just below swing highs - looking for resolution higher,Conditions satisfied for this idea. 1) confirmed close over breakout level 2) It has now hit the target zone.,Target Zone Reached,2026-05-05T14:22:48Z
1047,KBE,Inactive,2026-04-27T18:59:27.519Z,Short-Term (1-3 weeks),64.39,Long,None,64.3 - 64.3,67.09 - 69.9,< 62.79,Weekly analysis suggests KBE is in a rising phase with positive momentum. Daily analysis suggests KBE is due to form a low around the end of April. There is a clear bull flag forming. Re-eval is on a close below the 21 EMA daily. Move through favorable on close will set this up as green.  See video.,scratching KBE today - no lift as it hovers above the breakout level.. clearly no demand for this group.,Pending / Inactive,2026-05-06T17:11:49Z
1046,ETHA,Inactive,2026-04-14T13:13:27.883Z,Short-Term (1-3 weeks),17.93,Long,None,17.82 - 18.11,19.8 - 21.33,< 16.46,Weekly analysis suggests ETHA is in a rising phase. Daily analysis suggests a rising phase as well. Tight ascending triangle forming. Breakout setup. See video. Note needs to close over favorable to turn green!,ETHA is chopping around in favorable - scratching,Pending / Inactive,2026-05-05T14:22:31Z
1045,ASTS,Inactive,2026-04-14T12:53:43.674Z,Short-Term (1-3 weeks),102.7,Long,None,101.89 - 103.17,117.4 - 129.89,< 91.74,Weekly analysis suggests ASTS has just formed a mid-cycle low and in a rising phase. Daily rising phase - clear pivot at 103.17 in place. Needs to move through 101.89 and 103.17 on a closing basis to confirm the next move higher. See video.,Never triggered. Note it needed to close over the breakout level to be active on the site. It failed to do so.,Pending / Inactive,2026-04-15T19:23:31Z
1044,ALB,Inactive,2026-04-13T16:19:41.939Z,Short-Term (1-3 weeks),187.5,Long,None,187.0 - 187.0,206.0 - 206.0,< 171.0,Weekly analysis suggests ALB is in a new rising phase. Daily base breakout targeting swing highs. Re-eval move to new swing lows.,Solid ~15% return on this idea.,Target Zone Reached,2026-04-16T18:39:50Z
1043,TER,Inactive,2026-04-07T16:25:03.780Z,Short-Term (1-3 weeks),316.72,Long,None,324.8 - 324.8,345.0 - 355.0,< 309.59,Weekly analysis suggests TER is early in a rising phase. There is an inside pivot developing vs 324.80. On a daily close over that - re-eval will be today's LOD as it would signify a re-entry into range and a failure in the breakout pattern. Targeting a move to retest swing highs and the minor 127.2 Ext.,gapped through favorable into target!,Target Zone Reached (Early / Missed Entry),2026-04-16T18:39:28Z
1042,EWZ,Inactive,2026-04-01T14:15:48.759Z,Short-Term (1-3 weeks),38.44,Long,None,38.0 - 37.2,39.69 - 40.43,< 36.46,Weekly low was due to form 3/9 - 5/4. We highlighted in stock sectors that LATAM was due to form a low around this time.  Daily rising phase clear. Watching for mini flags and moves to new highs! Also review ILF as we discuss this in the video.,This hit target today +6% + from favorable,Target Zone Reached,2026-04-08T13:19:03Z
1041,NFLX,Inactive,2026-04-01T13:29:20.792Z,Short-Term (1-3 weeks),96.0,Long,None,95.5 - 94.5,98.2 - 100.2,< 92.2,Weekly rising phase.. Daily rising phase and coming out of a base. See video.,Strong 6% + move in NFLX up and through my primary target for this name.,Target Zone Reached,2026-04-06T13:30:57Z
1040,NVDA,Inactive,2026-03-30T13:42:04.699Z,Short-Term (1-3 weeks),169.0,Short,None,170.0 - 173.0,164.25 - 159.0,> 174.5,Weekly corrective period with low due around mid april. Daily corrective period - breakdown out of range on Friday and now bear flag potential for one final downdraft into the trough. See video.,Straight through resistance on the Iran news...,Re-evaluation Level Hit,2026-03-31T19:59:56Z
1039,GOOGL,Inactive,2026-03-24T14:30:31.220Z,Short-Term (1-3 weeks),296.0,Short,None,296.0 - 296.0,285.0 - 278.0,> 306.0,Weekly analysis suggests corrective phase low due in may-june. Daily analysis suggests a potential LHT - breakdown setup vs 296 targeting 285-278. Re-eval is the 21 ema daily. If it closes below 296 will turn green.,Perfect move into the target.. Note the META bear triangle posted on discord also hitting targets here.,Target Zone Reached,2026-03-26T13:33:59Z
1038,META,Inactive,2026-03-23T17:33:44.695Z,Short-Term (1-3 weeks),601.0,Short,None,614.0 - 623.0,582.0 - 557.0,> 632.0,Weekly analysis suggests late in weekly corrective phase. Daily corrective phase - mini bear flag - watch 2 hr for setup with daily trend down. low due early april.,This morphed into bear triangle as we discussed on discord last night (3/25) - perfect move into the target. Disregard the favorables posted here.,Target Zone Reached (Early / Missed Entry),2026-03-26T13:34:53Z
1037,AAPL,Inactive,2026-03-23T17:16:11.606Z,Short-Term (1-3 weeks),251.0,Short,None,251.0 - 254.0,245.0 - 241.0,> 257.0,Weekly corrective phase with low due in April. Daily corrective phase and LHT.. Flag back to daily EMAs,AAPL is chopping around and leaving an odd shaped daily cycle - removing the idea for now.,Pending / Inactive,2026-03-25T13:13:27Z
1036,FXI,Inactive,2026-03-19T01:07:37.629Z,Short-Term (1-3 weeks),36.2,Short,None,36.4 - 36.77,35.4 - 34.88,> 37.11,FXI has been a laggard for weeks. Bear flag clear on daily. Rejection so far at the falling 21 EMA.. Given bearish daily cycle config - targeting new lows. Fed induced selling today... if it tries to uptick will be looking on short side here. No video for this idea.,This idea also played out nicely and has moved right into targets.,Target Zone Reached,2026-03-20T15:31:14Z
1035,MSFT,Inactive,2026-03-18T16:42:26.900Z,Short-Term (1-3 weeks),394.0,Short,None,394.0 - 394.0,382.0 - 382.0,> 404.0,Weekly analysis suggests MSFT has a low due right around March-April. Daily analysis suggests all the EMAs are down and it is entering into a corrective period. Low due end of Mar early April. Breakdown setup vs 394. Wil turn green if daily close below.,Good clean move into target.,Target Zone Reached,2026-03-20T14:00:40Z
1034,RKLB,Inactive,2026-03-17T19:40:48.514Z,Short-Term (1-3 weeks),77.15,Long,None,78.2 - 78.2,85.94 - 91.94,< 71.27,Weekly analysis suggests a mid-cycle low is due to form. Daily analysis indicates a trend roll up is occurring.. Ribbon now neutral and a positive RS. If it closes over 78.20 will turn green. Targeting 61.8 - 78.6. Re-eval is LoD from 3/17.,Unfortunately this name closed over the favorable and then news came out overnight that it issued a convertible!,Re-evaluation Level Hit,2026-03-18T19:22:19Z
1033,PLTR,Inactive,2026-03-17T14:06:12.795Z,Short-Term (1-3 weeks),155.26,Long,None,156.0 - 156.0,164.0 - 174.0,< 148.58,Weekly analysis suggests PLTR is in a rising phase.. given the macro backdrop it makes sense to see PLTR showing some relative strength off of the recently low. Looking at this as a bull consolidation. Needs daily close > 156 to set this up as green on the site. Targeting 61.8 and 78.6 retracements. A loss of the daily 21 ema on a closing basis invalidates the setup.,Just missed the target by < 1% and now back to breakeven. Have to mark it as a scratch for the tracker.,Pending / Inactive,2026-03-24T13:46:49Z
1032,GLD,Inactive,2026-03-16T15:05:36.569Z,Short-Term (1-3 weeks),458.75,Long,None,457.35 - 449.14,476.4 - 491.05,< 445.5,Weekly analysis suggests GLD is due to form a low. Daily low due right around mid-March. This stock needs to form a mini base to show signs of support right now it is in price exploration mode. Note the GLD cycle is slightly wider vs what is in /GC 48 vs 42 bars.,Base never formed on the 2hr so we never turned this setup green.. Please see the video as it highlights an important process associated with cycle lows..,Pending / Inactive,2026-03-18T12:16:41Z
1031,HOOD,Inactive,2026-03-13T17:35:33.962Z,Short-Term (1-3 weeks),73.8,Short,None,74.6 - 76.8,70.43 - 69.2,> 79.5,Weekly corrective phase with low due May-June. Daily corrective phase after losing uptrend line and failing at falling EMAs. Mini bear flag on 30min likely to set this up. See video.,6.5% move in HOOD that just missed target. Now back to breakeven - marking a scratch.,Pending / Inactive,2026-03-19T19:12:22Z
1030,DOCN,Inactive,2026-03-13T13:47:28.131Z,Short-Term (1-3 weeks),66.59,Long,None,65.0 - 62.0,74.26 - 80.58,< 60.0,Weekly analysis suggests DOCN is in a rising phase. Firmly positive momentum. Multi-year base in place. Daily looking for a cup and handle to form and for this to move sharply higher. Nice RS on the daily vs market.,DOCN exploded into the target.,Target Zone Reached (Early / Missed Entry),2026-03-17T19:37:37Z
1029,DELL,Inactive,2026-03-11T15:08:10.027Z,Short-Term (1-3 weeks),148.57,Long,None,148.66 - 148.66,155.7 - 160.06,< 141.5,Weekly rising phase and leader off recent market trough. Daily bull flag and flush out yesterday.. see video. note it needs daily close over favorable to turn green on site.,Removing DELL - nice little almost 3% pop that quickly stalled.,Pending / Inactive,2026-03-13T14:58:12Z
1028,TSLA,Inactive,2026-03-04T16:29:43.471Z,Short-Term (1-3 weeks),402.0,Long,None,405.0 - 405.0,425.0 - 436.0,< 392.0,Weekly mid-cycle low due as it tests the recent swing low. Daily low also due - I want to see a daily close over 405 to set this up. Targeting 78.6 and recent swing high. Re-eval is the 200 SMA. See video. Clearly counter-trend given bearish RS and SlimRibbon.,TSLA is right at the favorable level here with no strong buying. Pulling it for now.. When it looked at PDH (prior day highs) no one was there. Scratching.,Pending / Inactive,2026-03-05T17:19:32Z
1027,CRM,Inactive,2026-03-03T18:13:00.910Z,Short-Term (1-3 weeks),195.75,Long,None,196.0 - 196.0,205.0 - 212.0,< 187.8,Weekly low due shortly in the IGV names and CRM. Daily higher low. Breakout setup. Close over favorable turns this green.,This came within 50c of the target -  I will look for a new setup.,Target Zone Reached,2026-03-05T18:00:22Z
1026,NEM,Inactive,2026-02-26T16:21:19.636Z,Intermediate-Term (3-8 weeks),125.5,Long,None,127.17 - 127.17,134.88 - 137.13,< 119.12,"Weekly rising phase, daily consolidation. Targeting old highs and short term 78.6 fib extension. It will turn green if it closes over favorable.",This hit my target in the overnight session.. However in the RTH it sold off back to breakeven. To be conservative I am marking this as breakeven but there clearly was $ to be had here in this setup.,Pending / Inactive,2026-03-02T16:35:18Z
1025,AA,Inactive,2026-02-25T15:29:22.572Z,Short-Term (1-3 weeks),63.66,Long,None,64.46 - 64.46,"67.46 - 67.46, 71.22 - 74.97",< 59.57,Weekly low due note the retest of the prior multi-year breakout area. Daily bull base - playing for a larger move. See video.. needs to close over breakout level to set as green on site,Failed to hold breakout on 2/26 - closed right around breakout marking b/e,Pending / Inactive,2026-02-26T19:31:56Z
1024,COPX,Inactive,2026-02-24T14:56:36.681Z,Short-Term (1-3 weeks),91.5,Long,None,91.5 - 91.5,96.0 - 100.0,< 85.74,"Weekly rising phase with clear bull flag forming. Daily low just formed and now a breakout attempt vs base. Needs to close over favorable zone to set up as green for the site. Opted for this ETF setup vs SCCO strictly due to risk/reward, real target is the century mark here.",COPX hit target 1,Target Zone Reached,2026-02-27T19:32:57Z
1023,KGC,Inactive,2026-02-23T22:40:50.130Z,Intermediate-Term (3-8 weeks),35.5,Long,None,35.5 - 34.9,"37.34 - 39.11, 40.15 - 42.68",< 32.36,"Weekly mid-cycle low is due. Daily working out of its base. Note that other gold miners are at  or near-new highs like FNV, AU etc. Gold holding high is supportive for the miners. Expecting a bullish short-term translation to prove the weekly mid-cycle low formed.",Scratching this as market is weakening post NVDA earnings. That is carrying miners with it.,Pending / Inactive,2026-02-26T15:23:24Z
1022,ISRG,Inactive,2026-02-23T16:19:36.964Z,Short-Term (1-3 weeks),490.0,Short,None,492.0 - 502.0,466.0 - 452.0,> 515.0,Weekly corrective phase with low due in April. Daily low formed and bear flag with now stalling daily EMAs. See video.,Made some progress towards target but overall wrong group in spite of having the right timing for a pullback.,Pending / Inactive,2026-03-10T13:32:12Z
1021,ABBV,Inactive,2026-02-13T16:57:32.069Z,Intermediate-Term (3-8 weeks),234.0,Long,None,232.5 - 228.5,245.0 - 254.0,< 223.0,Weekly analysis suggests low due 12/22 - 2/16. Daily analysis suggests early in a rising phase coming out of the weekly bull flag. Watching for small dip to set up higher.. See video. update 2/23: 236 is now an important pivot will only turn green if it can move through on a closing basis.,,Pending / Inactive,2026-02-23T13:42:30Z
